私,"I, me, private"
人,person
雇,"employ, hire"
守,"defend, guard, obey, protect"
約,"approximately, promise, shrink"
束,"bundle, control, govern, manage, ream, sheaf, tie in bundles"
急,"emergency, hurry, steep, sudden"
押,"attach, check, do in spite of, press, push, seal, seize, shove, stop, subdue, weight"
罪,"blame, crime, fault, guilt, offense, sin"
悪,"bad, evil, false, rascal, vice, wrong"
感,"emotion, feeling, sensation"
消,"blow out, cancel, extinguish, neutralize, turn off"
戻,"go backwards, re-, restore, resume, return, revert"
小,"little, small"
林,"forest, grove"
得,"able to, acquire, advantage, benefit, can, earn, find, gain, get, may, profit"
意,"care, desire, heart, idea, liking, mind, taste, thought"
中,"center, in, inside, mean, middle"
他,"another, other, the others"
誘,"allure, ask, call for, entice, invite, lead, seduce, tempt"
女,"female, woman"
男,male
友,friend
達,"accomplished, arrive, attain, reach"
家,"expert, family, home, house, performer, professional"
毎,every
日,"Japan, counter for days, day, sun"
一,"one, one radical (no.1)"
緒,"beginning, cord, end, inception, mental or emotional state, strap, thong"
暮,"evening, livelihood, make a living, season's end, spend time, twilight"
文,"art, decoration, figures, literary radical (no. 67), literature, plan, sentence, style"
房,"bunch, fringe, house, lock (hair), room, segment (orange), tassel, tuft"
具,"counter for armor, suits, sets of furniture, ingredients, means, possess, tool, utensil"
任,"appoint, duty, entrust to, responsibility, term"
血,blood
吸,"imbibe, inhale, sip, suck"
込,"(kokuji), crowded, in bulk, included, mixture"
呪,"charm, curse, malediction, spell"
選,"choose, elect, prefer, select"
近,"akin, early, near, tantamount"
付,"adhere, append, attach, refer to"
自,oneself
分,"1%, chances, degree, duty, know, minute of time, one's lot, part, rate, segment, shaku/100, share, understand"
物,"matter, object, thing"
貼,"apply, paste, stick"
本,"book, counter for long cylindrical things, main, origin, present, real, true"
当,"appropriate, himself, hit, right"
様,"Esq., manner, polite suffix, situation, way"
子,"11PM-1AM, child, first sign of Chinese zodiac, sign of the rat"
来,"become, cause, come, due, next"
殺,"butcher, diminish, kill, murder, reduce, slice off, split, spoil"
勉,"diligent, encourage, endeavour, exertion, make effort, strive"
強,strong
通,"avenue, commute, counter for letters, notes, documents, etc., pass through, traffic"
勤,"become employed, diligence, serve"
目,"care, class, experience, eye, favor, insight, look"
立,"erect, rise, set up, stand up"
門,"counter for cannons, gate"
番,"number in a series, turn"
方,"alternative, direction, person"
思,think
誰,"somebody, someone, who"
度,"attitude, consider, counter for occurrences, degrees, occurrence, time"
考,"consider, think over"
若,"if, immature, low number, perhaps, possibly, young"
力,"bear up, exert, power, strain, strength, strong"
者,"person, someone"
仲,"go-between, relationship"
間,"interval, space"
取,"fetch, take, take up"
学,"learning, science, study"
生,"birth, genuine, life"
俺,"I, myself"
暇,"leave of absence, leisure, rest, spare time, time"
逃,"escape, evade, flee, set free, shirk"
行,"act, bank, carry out, conduct, going, journey, line, row"
平,"even, flat, peace"
